Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sing in and reset user,,,,2021-12-08 11:39:31,2021-12-08 11:40:26,54.441s,PASSED
,,,,,,,
Test Cases/Start page/Sing In,,,,2021-12-08 11:39:32,2021-12-08 11:39:52,20.156s,PASSED
"startExistingApplication(""com.gigantic.clawee"", STOP_ON_FAILURE)",,,,2021-12-08 11:39:32,2021-12-08 11:39:44,11.926s,PASSED
"tap(findTestObject(""Start page/Connect button/Connect with Email/Connect with E-mail""), 0)",,,,2021-12-08 11:39:44,2021-12-08 11:39:45,1.530s,PASSED
"tap(findTestObject(""Start page/Connect button/Sing in/Already signed up Sign in""), 0)",,,,2021-12-08 11:39:45,2021-12-08 11:39:46,1.092s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/E-mail""), ""alex.qa.eng+77@gmail.com"", 0)",,,,2021-12-08 11:39:46,2021-12-08 11:39:48,1.965s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/Password""), ""Alex0611"", 0)",,,,2021-12-08 11:39:48,2021-12-08 11:39:50,1.784s,PASSED
"tap(findTestObject(""Start page/Connect button/Sing in/Sign in""), 0)",,,,2021-12-08 11:39:50,2021-12-08 11:39:52,1.592s,PASSED
,,,,,,,
Test Cases/Start page/6 welcome screens,,,,2021-12-08 11:39:52,2021-12-08 11:40:18,26.335s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 11:39:52,2021-12-08 11:40:13,20.674s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 11:40:13,2021-12-08 11:40:14,1.251s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 11:40:14,2021-12-08 11:40:15,1.200s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 11:40:15,2021-12-08 11:40:16,1.332s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 11:40:16,2021-12-08 11:40:18,1.293s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Close""), 0)",,,,2021-12-08 11:40:18,2021-12-08 11:40:18,0.427s,PASSED
,,,,,,,
Test Cases/Start page/Play for real,,,,2021-12-08 11:40:18,2021-12-08 11:40:20,1.499s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Lets Go""), 0)",,,,2021-12-08 11:40:18,2021-12-08 11:40:20,1.347s,PASSED
,,,,,,,
Test Cases/Reret user,,,,2021-12-08 11:40:20,2021-12-08 11:40:26,6.191s,PASSED
"tap(findTestObject(""Reset user/Profile""), 0)",,,,2021-12-08 11:40:20,2021-12-08 11:40:21,1.550s,PASSED
"tap(findTestObject(""Reset user/Dev menu""), 0)",,,,2021-12-08 11:40:21,2021-12-08 11:40:22,0.672s,PASSED
"tap(findTestObject(""Reset user/RESET ACCOUNT""), 0)",,,,2021-12-08 11:40:22,2021-12-08 11:40:23,1.234s,PASSED
"tap(findTestObject(""Reset user/Reset""), 0)",,,,2021-12-08 11:40:23,2021-12-08 11:40:26,2.590s,PASSED
