Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sing in and reset user,,,,2021-12-08 16:17:59,2021-12-08 16:18:53,53.937s,PASSED
,,,,,,,
Test Cases/Start page/Login Email,,,,2021-12-08 16:17:59,2021-12-08 16:18:28,28.601s,PASSED
"startExistingApplication(""com.gigantic.clawee"", STOP_ON_FAILURE)",,,,2021-12-08 16:18:00,2021-12-08 16:18:13,13.638s,PASSED
"checkElement(findTestObject(""Start page/logoClawee""), 0)",,,,2021-12-08 16:18:13,2021-12-08 16:18:18,4.410s,PASSED
"tap(findTestObject(""Start page/Connect button/Connect with Email/Connect with E-mail""), 0)",,,,2021-12-08 16:18:18,2021-12-08 16:18:18,0.634s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/First name""), ""Alexander"", 0)",,,,2021-12-08 16:18:18,2021-12-08 16:18:20,2.142s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/Last name""), ""Testing"", 0)",,,,2021-12-08 16:18:20,2021-12-08 16:18:22,1.998s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/E-mail""), ""Alex.qa.eng+78@gmail.com"", 0)",,,,2021-12-08 16:18:22,2021-12-08 16:18:24,1.960s,PASSED
"setText(findTestObject(""Start page/Connect button/Connect with Email/Password""), ""Alex0611"", 0)",,,,2021-12-08 16:18:24,2021-12-08 16:18:26,1.949s,PASSED
"tap(findTestObject(""Start page/Connect button/Connect with Email/Sign Up""), 0)",,,,2021-12-08 16:18:26,2021-12-08 16:18:28,1.585s,PASSED
,,,,,,,
Test Cases/Start page/6 welcome screens,,,,2021-12-08 16:18:28,2021-12-08 16:18:45,17.344s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 16:18:28,2021-12-08 16:18:39,10.800s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 16:18:39,2021-12-08 16:18:40,1.347s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 16:18:40,2021-12-08 16:18:41,1.257s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 16:18:41,2021-12-08 16:18:43,1.357s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 16:18:43,2021-12-08 16:18:44,1.304s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Close""), 0)",,,,2021-12-08 16:18:44,2021-12-08 16:18:45,1.118s,PASSED
,,,,,,,
Test Cases/Start page/Play for real,,,,2021-12-08 16:18:45,2021-12-08 16:18:47,1.419s,PASSED
"tap(findTestObject(""Start game/6 welcome screens/Lets Go""), 0)",,,,2021-12-08 16:18:45,2021-12-08 16:18:47,1.279s,PASSED
,,,,,,,
Test Cases/Reret user,,,,2021-12-08 16:18:47,2021-12-08 16:18:53,6.303s,PASSED
"tap(findTestObject(""Reset user/Profile""), 0)",,,,2021-12-08 16:18:47,2021-12-08 16:18:48,1.575s,PASSED
"tap(findTestObject(""Reset user/Dev menu""), 0)",,,,2021-12-08 16:18:48,2021-12-08 16:18:49,0.696s,PASSED
"tap(findTestObject(""Reset user/RESET ACCOUNT""), 0)",,,,2021-12-08 16:18:49,2021-12-08 16:18:50,1.338s,PASSED
"tap(findTestObject(""Reset user/Reset""), 0)",,,,2021-12-08 16:18:50,2021-12-08 16:18:53,2.544s,PASSED
